Date,Price,Open,High,Low,Change %
1/27/2020,1.1018,1.1021,1.1039,1.1009,-0.06%
1/24/2020,1.1025,1.1055,1.1063,1.102,-0.26%
1/23/2020,1.1054,1.1092,1.1109,1.1036,-0.35%
1/22/2020,1.1093,1.1084,1.1099,1.107,0.08%
1/21/2020,1.1084,1.1095,1.1119,1.108,-0.10%
1/20/2020,1.1095,1.1092,1.1104,1.1076,0.05%
1/17/2020,1.109,1.1136,1.1143,1.1085,-0.42%
1/16/2020,1.1137,1.1151,1.1173,1.1128,-0.13%
1/15/2020,1.1151,1.113,1.1164,1.1118,0.20%
1/14/2020,1.1128,1.1135,1.1145,1.1104,-0.06%
1/13/2020,1.1135,1.1125,1.1148,1.1112,0.12%
1/10/2020,1.1122,1.1106,1.113,1.1085,0.14%
1/9/2020,1.1106,1.1106,1.1121,1.1092,0.01%
1/8/2020,1.1105,1.1154,1.1169,1.1101,-0.43%
1/7/2020,1.1153,1.1198,1.1198,1.1133,-0.38%
1/6/2020,1.1195,1.1168,1.1207,1.1155,0.31%
1/3/2020,1.116,1.1172,1.1181,1.1125,-0.11%
1/2/2020,1.1172,1.1212,1.1227,1.1163,-0.36%
1/1/2020,1.1212,1.1213,1.1223,1.1205,0.00%
12/31/2019,1.1212,1.1198,1.124,1.1198,0.12%
12/30/2019,1.1199,1.1175,1.1223,1.117,0.20%
12/27/2019,1.1177,1.1097,1.1188,1.1095,0.71%
12/26/2019,1.1098,1.1091,1.111,1.1082,0.06%
12/25/2019,1.1091,1.1089,1.1107,1.1073,0.03%
12/24/2019,1.1088,1.1089,1.1095,1.1069,0.00%
12/23/2019,1.1088,1.1081,1.1097,1.1069,0.08%
12/20/2019,1.1079,1.1122,1.1127,1.1065,-0.39%
12/19/2019,1.1122,1.1113,1.1145,1.1107,0.08%
12/18/2019,1.1113,1.115,1.1156,1.111,-0.33%
12/17/2019,1.115,1.1143,1.1176,1.1128,0.05%
12/16/2019,1.1144,1.1122,1.1159,1.1122,0.21%
12/13/2019,1.1121,1.1129,1.12,1.1111,-0.08%
12/12/2019,1.113,1.113,1.1155,1.1102,0.00%
12/11/2019,1.113,1.1092,1.1145,1.107,0.33%
12/10/2019,1.1093,1.1063,1.1099,1.1062,0.26%
12/9/2019,1.1064,1.1055,1.1079,1.1052,0.05%
12/6/2019,1.1059,1.1105,1.1111,1.104,-0.41%
12/5/2019,1.1104,1.1079,1.1109,1.1077,0.23%
12/4/2019,1.1078,1.1082,1.1116,1.1066,-0.05%
12/3/2019,1.1083,1.1078,1.1094,1.1065,0.04%
12/2/2019,1.1079,1.1014,1.109,1.1003,0.56%
11/29/2019,1.1017,1.1008,1.1029,1.098,0.07%
11/28/2019,1.1009,1.0999,1.1019,1.0999,0.09%
11/27/2019,1.0999,1.102,1.1026,1.0991,-0.19%
11/26/2019,1.102,1.1014,1.1027,1.1006,0.05%
11/25/2019,1.1014,1.1024,1.1033,1.1004,-0.09%
11/22/2019,1.1024,1.1058,1.1086,1.1014,-0.32%
11/21/2019,1.1059,1.1074,1.1098,1.1051,-0.13%
11/20/2019,1.1073,1.1078,1.1083,1.1053,-0.05%
11/19/2019,1.1079,1.1072,1.1085,1.1062,0.06%
11/18/2019,1.1072,1.1052,1.1091,1.1048,0.18%
11/15/2019,1.1052,1.1021,1.1058,1.1014,0.26%
11/14/2019,1.1023,1.1006,1.1028,1.0989,0.15%
11/13/2019,1.1007,1.101,1.1021,1.0994,-0.02%
11/12/2019,1.1009,1.1033,1.104,1.1002,-0.22%
11/11/2019,1.1033,1.1022,1.1044,1.1016,0.14%
11/8/2019,1.1018,1.105,1.1056,1.1016,-0.29%
11/7/2019,1.1049,1.1066,1.1092,1.1035,-0.16%
11/6/2019,1.1067,1.1075,1.1094,1.1064,-0.07%
11/5/2019,1.1075,1.1128,1.1141,1.1063,-0.48%
11/4/2019,1.1128,1.1165,1.1176,1.1124,-0.35%
11/1/2019,1.1167,1.1152,1.1172,1.1128,0.13%
10/31/2019,1.1152,1.1151,1.1176,1.113,0.02%
10/30/2019,1.115,1.1112,1.1152,1.1079,0.34%
10/29/2019,1.1112,1.1099,1.112,1.1073,0.11%
10/28/2019,1.11,1.1082,1.1108,1.1076,0.18%
10/25/2019,1.108,1.1104,1.1123,1.1072,-0.22%
10/24/2019,1.1105,1.1131,1.1164,1.1092,-0.23%
10/23/2019,1.113,1.1125,1.1141,1.1106,0.05%
10/22/2019,1.1125,1.115,1.1158,1.1118,-0.22%
10/21/2019,1.1149,1.1143,1.118,1.1137,-0.20%
10/18/2019,1.1171,1.1125,1.1173,1.1114,0.42%
10/17/2019,1.1124,1.1072,1.1141,1.1064,0.47%
10/16/2019,1.1072,1.1033,1.1086,1.1021,0.35%
10/15/2019,1.1033,1.1028,1.1047,1.0991,0.04%
10/14/2019,1.1029,1.1044,1.105,1.1013,-0.12%
10/11/2019,1.1042,1.1006,1.1063,1.1,0.33%
10/10/2019,1.1006,1.0971,1.1035,1.097,0.32%
10/9/2019,1.0971,1.0956,1.0991,1.0951,0.14%
10/8/2019,1.0956,1.0971,1.0997,1.0941,-0.14%
10/7/2019,1.0971,1.0976,1.1001,1.0962,-0.06%
10/4/2019,1.0978,1.0963,1.0999,1.0956,0.11%
10/3/2019,1.0966,1.0959,1.1,1.0941,0.06%
10/2/2019,1.0959,1.0933,1.0964,1.0904,0.25%
10/1/2019,1.0932,1.09,1.0943,1.0878,0.29%
9/30/2019,1.09,1.094,1.0948,1.0884,-0.36%
9/27/2019,1.0939,1.0921,1.096,1.0905,0.16%
9/26/2019,1.0922,1.0942,1.0969,1.0908,-0.19%
9/25/2019,1.0943,1.102,1.1025,1.0937,-0.70%
